CL_p,f_rec,k_ao,k_av,k_deg,k_int,k_off,k_on,k_rv,k_syn,k_va,k_vr
11.421411432702708,0.5120509152541741,1.1753654978331136,0.0021200639697696207,0.05303665845071559,0.10062135846606245,0.2556208119136831,0.0985133655818409,0.0015634688523017575,0.325530764493943,0.008218347791105446,0.0014683075039794652
15.179322671607057,0.2638169497649687,0.7693130659220753,0.021940389200446664,0.07493687152393654,0.07619201516084051,0.2511682455080717,0.09158540860131653,0.004649756429228494,0.24270022233429459,0.009062207890718625,0.0013765488070077911
8.26596774831139,0.638327701479271,0.4440520288184751,0.014241803578276263,0.0627711947542277,0.12642988477223102,0.2634643287924936,0.1990255763021166,0.0007244511451974748,0.2315688395788581,0.009053368490229648,0.0009843780356378266
16.09560002663252,0.35245084342458105,0.44162063937347096,0.011213178695124573,0.06558418014384729,0.05930175902331794,0.15259147221766262,0.060847840680852826,0.004636102738280166,0.4378291248591912,0.008357060248639086,0.001836137446723362
6.329679433506031,0.5279888814016888,1.0712987188514034,0.016011538023365898,0.031502154937117485,0.056839026792746994,0.4414811769399289,0.21053960438240332,0.0055312348809078895,0.20868134276405392,0.009001453719716003,0.001307495075255262
11.30543986110953,0.5520295994292688,0.3944887164455835,0.013659508445730353,0.07644464736890769,0.07531460436201962,0.39035680735487893,0.20587787713844186,0.004783540889111067,0.35877808906639896,0.009222364809532159,0.0009834749124676251
6.706241626425071,0.4660724102270556,1.1410899804673267,0.011147237423417208,0.03651813951955561,0.06186077375871882,0.3773801814479142,0.18166162225158428,0.0018925229258160603,0.4034356294320358,0.00795115135170537,0.0020025750244463767
9.91068271533949,0.3092463758143593,0.6725375682884308,0.026577226920624517,0.061292392534713566,0.0694478014703733,0.20653572060461942,0.20166270163176866,0.00717155741421957,0.06682238492813317,0.009925479915361371,0.00037870742675014265
10.681213342615582,0.6459574596277056,0.5859652049641184,0.004783604064614434,0.07754721113104879,0.10295993919490751,0.39563568273270355,0.1606906647211201,0.002055478289142455,0.3325734215862417,0.009016941061920055,0.0010953783543409018
8.407433251821796,0.2749939665091195,0.6209823353874694,0.029780376108282266,0.030394163389035916,0.07138315552264324,0.5372140901784759,0.10062108613018063,0.0019286377178418272,0.24270860610809794,0.008033768651509933,0.002186209169476553
5.021466008969346,0.49744671639505544,0.9632478442416381,0.02016757763802588,0.06635388343670168,0.10587748658786895,0.32692241959815405,0.19271700616155224,0.0053949914867308804,0.13106941682691164,0.009609641234246668,0.0007658365649763585
2.971883742713161,0.36209833300949357,0.5982699361414977,0.027953377053241052,0.035468534097833994,0.05302381791771166,0.32986682045390814,0.13283575092287644,0.00408565488403702,0.21175008296629788,0.009066245896166709,0.0014055354588563222
3.612853119111723,0.5203498844562419,1.1614351590635068,0.017642589471218367,0.025151354242849717,0.07492149261209927,0.13862153076476522,0.1145578526736443,0.006146909314289724,0.09730828225104617,0.00947313296221564,0.0008042341986642023
4.920546216396337,0.6019112498783074,0.5098363640111716,0.025064526395184306,0.08480045957958995,0.11867543428006186,0.24796553635300658,0.13997082409968659,0.0031979613184525625,0.46075956671968515,0.008876731847002607,0.001525298881550067
16.479482103041573,0.51987434250658,0.7126721724787277,0.0072330160150464685,0.036130701249054015,0.10279285301881232,0.2205314897422772,0.11191938902326068,0.003283715604605781,0.15214745936733276,0.008891318362323377,0.0012135999379315609
10.656704503199514,0.5495643087200216,0.6431953781082759,0.022205065512289887,0.07083103426161937,0.12788306953362366,0.5869008330557742,0.08527131885651412,0.00018276579864691953,0.4279295727958935,0.008085233562482638,0.0020229634193786325
12.207484036455707,0.4999243113961903,0.8080372445879873,0.01537500158476965,0.0531716941710883,0.07589807247552864,0.3945198762504492,0.12259200632960068,0.0017251109202501523,0.4062720448783864,0.00832443192508224,0.0017498775938053746
10.717384057578212,0.5566422001266328,0.5376618381422038,0.011370953311515766,0.06847045230674963,0.12911256578100458,0.09494344141852959,0.049615003746315445,0.004619627082369582,0.26686147478604105,0.008779243650884524,0.0015641085439315962
3.6914339435694035,0.31523083263621177,1.082479041812754,0.009303629172757632,0.0510632851157734,0.05803162970688174,0.036703170820446836,0.05540783468932692,0.0012857071387716074,0.19514338920522584,0.009003934981941224,0.0009317266284542751
10.525662950819306,0.4332779693355343,0.8384111036329553,0.028034800324130638,0.021448309155284763,0.040750081077224796,0.23329699167977805,0.19720586682817456,0.007852142976023053,0.19733653318431507,0.009281729892309784,0.001154268086175963
10.128352150899715,0.5990842924063785,0.594439237373913,0.011890638010618758,0.06684133104302861,0.10535508326615972,0.2763384676320981,0.20167988232666464,0.004521398662251321,0.21490492694582375,0.009437082092367018,0.0007014503652537877
10.75661163596845,0.44190962329801275,1.0970291479709835,0.02696069690456673,0.027305462164267373,0.04026042976207353,0.11130181060961775,0.09180560561931755,0.00255296638221418,0.400725263722896,0.008475705744615147,0.0019467028429175509
6.51216443591388,0.25082590793507753,0.9813548991649262,0.03832098983830876,0.06262381355122493,0.0994152324560085,0.2860419670644329,0.07555992051623273,0.003214995894796696,0.2226673586127852,0.008816962464978099,0.001364628109106444
3.8718110048458723,0.295982277335466,0.9031707550364048,0.01229179595116834,0.09476491565998846,0.07938526290401482,0.13183388584929828,0.11889936220472094,0.0016654189152870752,0.16616116627304597,0.009565943363711537,0.0005394866664479466
6.901535737232305,0.5211695179961089,0.9956335037400529,0.017861915486431155,0.05279741056342199,0.07326225036565846,0.42151616821434573,0.1900543529856711,0.004117269865745265,0.19746393944943352,0.009406960486950335,0.0008740809547585814
10.326623964617104,0.6043304220218888,0.3004000737866496,0.009025655386115099,0.05325056527643293,0.1346045117654629,0.14909236912802207,0.03053381188237423,0.0019512627842506681,0.5194733966989923,0.007538455476121179,0.002714711001400526
7.442850688873083,0.5045455546065185,0.5380163284762105,0.010867596015456926,0.04226013827213111,0.06250499131389727,0.3127943363916567,0.10024020489071431,0.0005955130609810338,0.39869198844202863,0.00817906750731933,0.0019057996154800483
5.515749632291333,0.6383428939673411,0.6322971512995545,0.019054344666640396,0.054357457164629336,0.11726373958487027,0.6480563176818148,0.12268809975279057,0.0020504855251180718,0.39244410311971395,0.008338469229626118,0.0018312966976352738
8.433438420252148,0.4025494562265971,0.8107613544986475,0.026420584961258167,0.046553258154075544,0.052569357742182965,0.23154577115907599,0.18964018671105928,0.007848304049245549,0.28480134915228195,0.008998665333688118,0.001420825470533648
19.23371141827315,0.15923340849492867,1.4409312723504264,0.025951323817769115,0.04541487093217379,0.0794574881384681,0.12278896562141844,0.04728768761506897,0.007279232386374298,0.12387715738044952,0.009076312824753387,0.001268905087124305
5.761708168383745,0.3390582860422587,0.5729143620182751,0.011096662597024706,0.04211376887700666,0.06781392062972216,0.3108784337838939,0.05611131324468392,0.0022284034980305477,0.24868235726749724,0.008524682511219297,0.0016741920663377607
5.473068404390965,0.35617136724771625,0.6278000746616856,0.03288947900863161,0.04435130759656819,0.07966945924583722,0.4517535315811717,0.1571901796133505,0.00171053129044788,0.27931555939400654,0.008557054184707253,0.001785894545625759
7.3001070871695255,0.6185517563374696,0.9043640603094636,0.02554894011200365,0.09850183676513866,0.1366752291660368,0.5306122590277663,0.1212687944439533,0.0049852553212757856,0.34139677809875113,0.009383394810685775,0.0011147470436714776
10.26018804397745,0.576549448978727,1.1092606710251185,0.01985883794886702,0.057988814969129915,0.08561969865936245,0.3880189575323674,0.20120487517365301,0.004368593358568401,0.21516132998274473,0.009371047073994726,0.0009655207976446481
11.6629517643968,0.28262326917696073,1.3152066803443476,0.012401440197367797,0.08385082140214169,0.06494278126107692,0.1633924126167769,0.12195170022433766,0.004449834034312215,0.3028334773153374,0.00894112175460222,0.0011534352298936323
