parameter,S1_AUC_TO,ST_AUC_TO,S1_days_50,ST_days_50
k_va,0.06901875858144514,0.14466057525067824,-0.033029299046476744,0.21495340072390481
k_ao,-0.0015787645801550504,0.0008132367800916938,-0.003656074927828375,0.0009086997141111516
k_vr,0.09962590052560005,0.4285177377201796,0.015860555980805758,0.6104577010271076
f_rec,0.10217059178112096,0.1919547027163578,0.009909330246993933,0.19702591540668005
k_on,-0.02296097661626646,0.1602227409640755,0.023717608465893377,0.28317354840988784
R0_nM,0.26513673963985723,0.47598329289844377,0.19677222091250252,0.4934142777441205
